idade,genero,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
22,M,Rapidez \ Tempo;Praticidade e conveniência,Não,Buracos na ciclovia; Outros obstáculos na ciclovia,Limpeza das ciclovias,Avenida Leste-Oeste
36,M,Rapidez \ Tempo;Praticidade e conveniência,Não,"Lixo na ciclovia, Outros obstáculos na ciclovia",Melhoria da Iluminação,Não mencionado
21,M,Exercício e saúde;Rapidez \ Tempo;Custo \ É mais barato,Não,Falta de ciclovias,Expansão das ciclovias;Melhora de qualidade das ciclovias,Sargento Hermínio
40,M,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Custo \ É mais barato;Mais fácil,"Sim, por uma bicicleta melhor","Falta de ciclovias, Outros obstáculos na ciclovia",Melhora de qualidade das ciclovias,Não mencionado
33,M,Exercício e saúde;Custo \ É mais barato,Não,"Falta de ciclovias, Sinalização inadequada, Desrespeito dos motoristas ou Trânsito",Melhora de qualidade das ciclovias,Av Mister Hull
16,M,Exercício e saúde;Praticidade e conveniência;Custo \ É mais barato,"Sim, por uma moto",Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,Expansão das ciclovias;Melhora de qualidade das ciclovias,Avenida Bezerra de Menezes
33,M,Rapidez \ Tempo,Não,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,Melhoria da fiscalização; Conscietização dos motoristas; Segurança pública,Rua José Jataí
43,M,Rapidez \ Tempo;Praticidade e conveniência,"Sim, por uma moto",Trânsito,Expansão das ciclovias,Avenida Major Assis
60,M,Rapidez \ Tempo;Preferência pessoal,Não,"Falta de ciclovias, Má qualidade das ciclovias","Segurança pública, Conscietização dos motoristas",Não mencionado
30,M,Rapidez \ Tempo;Praticidade e conveniência,Não,Outros obstáculos na ciclovia,Melhoria da Iluminação; Segurança pública,Não mencionado
42,M,Custo \ É mais barato;Única opção,Não,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias,Não mencionado
52,M,Praticidade e conveniência;Preferência pessoal,Não,Medo de assaltos,Não se aplica,Não mencionado
35,F,Exercício e saúde,Não,Machismo e desrespeito,Expansão das ciclovias;Melhora de qualidade das ciclovias,Não mencionado
29,M,Segurança no trânsito;Praticidade e conveniência,Não,Buracos na ciclovia; Falta de ciclovias; Má qualidade das ciclovias,Expansão das ciclovias,Avenida Dr. Theberge
22,F,Rapidez \ Tempo;Praticidade e conveniência,"Sim, por um carro",Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias,Bairro de Fátima
53,F,Custo \ É mais barato;Rapidez \ Tempo;Preferência pessoal,Não,Desrespeito dos motoristas ou Trânsito,"Melhoria da fiscalização, Segurança pública",Não mencionado
30,M,Exercício e saúde;Rapidez \ Tempo,"Sim, mas não especifica qual meio",Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias,Não mencionado
25,M,Exercício e saúde,Não,Falta de ciclovias,Expansão das ciclovias,Avenida Padre Ibiapina
48,M,Segurança no trânsito,Não,Medo de assaltos,Melhoria da Iluminação; Segurança pública,Avenida Mister Hull
90,M,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Não,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,Expansão das ciclovias;Conscietização dos motoristas;Melhoria da fiscalização,Não mencionado
43,F,Rapidez \ Tempo; Preferência pessoal,Não,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Expansão das ciclovias,Não mencionado
35,M,Exercício e saúde; Rapidez \ Tempo,Não,Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias,Não mencionado
49,M,Exercício e saúde; Segurança no trânsito,Não,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Melhora de qualidade das ciclovias,Não mencionado
53,M,Exercício e saúde; Custo \ É mais barato,Não,Outros obstáculos na ciclovia; Risco de acidentes,Expansão das ciclovias; Melhora de qualidade das ciclovias; Conscientização dos motoristas; Melhoria da fiscalização,Rua Antônio Bezerra e Rua Bezerra de Menezes
58,M,Rapidez \ Tempo; Custo \ É mais barato; Segurança no trânsito,Não,Falta de ciclovias,Melhora de qualidade das ciclovias,Av Francisco Sá
47,M,Exercício e saúde; Custo \ É mais barato; Praticidade e conveniência,Não,"Buracos na ciclovia, Lixo na ciclovia, Má qualidade das ciclovias",Expansão das ciclovias; Melhora de qualidade das ciclovias,Não mencionado
41,F,Praticidade e conveniência; Rapidez \ Tempo; Segurança no trânsito,Não,Falta de ciclovias; Lixo na ciclovia; Buracos na ciclovia; Outros obstáculos na ciclovia,Expansão das ciclovias;Melhora de qualidade das ciclovias,Bairro de Fátima
26,M,Praticidade e conveniência; Rapidez \ Tempo,"Sim, por uma bicicleta elétrica","Má qualidade das ciclovias, Sinalização inadequada",Expansão das ciclovias;Melhora de qualidade das ciclovias,Não mencionado
24,M,Mais fácil; Rapidez \ Tempo; Custo \ É mais barato,Não,Risco de acidentes; Falta de ciclovias; Má qualidade das ciclovias,Melhora de qualidade das ciclovias; Conscietização dos motoristas,Av Mister Hull
,F,Exercício e saúde; Praticidade e conveniência,Não,Outros obstáculos na ciclovia,Melhoria da fiscalização,Leste Oeste
43,F,Exercício e saúde;Rapidez \ Tempo,Não,Calor ou clima; Outros obstáculos na ciclovia,Expansão das ciclovias; Segurança pública,Não mencionado
20,M,Exercício e saúde;Rapidez \ Tempo,Não,Buracos na ciclovia,Melhora de qualidade das ciclovias,Região nobre da Aldeota
52,M,Única opção; Custo \ É mais barato,Não,Não classificado - Não mencionou nenhum problema.,Melhora de qualidade das ciclovias,Não mencionado
47,M,Exercício e saúde; Preferência pessoal,Não,"Falta de ciclovias, Desrespeito dos motoristas ou Trânsito",Melhora de qualidade das ciclovias,Não mencionado
20,M,Praticidade e conveniência; Custo \ É mais barato,Não,Falta de ciclovias,"Expansão das ciclovias, Melhora de qualidade das ciclovias",Av Mister Hull
40,M,Exercício e saúde;Preferência pessoal,"Sim, por um carro",Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Risco de acidentes; Medo de assaltos,Expansão das ciclovias,Av Mister Hull
46,M,Praticidade e conveniência; Custo \ É mais barato,Não,Outros obstáculos na ciclovia,Conscietização dos motoristas; Melhoria da fiscalização,Não mencionado
52,M,Exercício e saúde;Custo \ É mais barato;Praticidade e conveniência,Não,Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias,Não mencionado
22,F,Rapidez \ Tempo; Preferência pessoal,"Sim, por um carro",Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Conscietização dos motoristas; Melhora de qualidade das ciclovias,Bairro de Fátima
43,M,Rapidez \ Tempo; Custo \ É mais barato; Praticidade e conveniência,Não,Lixo na ciclovia,Limpeza das ciclovias; Conscietização dos motoristas,Rua João Pessoa
45,M,Exercício e saúde; Praticidade e conveniência; Custo \ É mais barato,Não,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Melhoria da fiscalização; Conscietização dos motoristas,Av Mister Hull
54,M,Exercício e saúde; Preferência pessoal,Não,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias;Conscietização dos motoristas,Avenida Treze de Maio
,M,Rapidez \ Tempo; Custo \ É mais barato,Não,"Má qualidade das ciclovias, Buracos na ciclovia",Expansão das ciclovias;Melhora de qualidade das ciclovias;Conscietização dos motoristas,Não mencionado
30,M,Rapidez \ Tempo;Praticidade e conveniência,"Sim, mas não especifica qual meio","Falta de ciclovias, Má qualidade das ciclovias, Invasão de carros ou motos na ciclovia, Outros obstáculos na ciclovia",Melhora de qualidade das ciclovias,Não mencionado
32,M,Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,"Sim, por uma moto",Falta de ciclovias; Medo de assaltos,Expansão das ciclovias; Melhora de qualidade das ciclovias,Não mencionado
32,F,Rapidez \ Tempo,Não,Desrespeito dos motoristas ou Trânsito,"Expansão das ciclovias, Melhora de qualidade das ciclovias, Segurança pública",Quintino Cunha
