idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_Fortaleza_agrupado,sofreu_algum_acidente_no_último_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
52 anos,Masculino,"Existe alguma rua de Fortaleza que você gostaria que tivesse ciclovia, ciclofaixa? Que ainda não tem? De momento, não",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,Não
A idade da pessoa não está especificada no texto.,Masculino,"Existe alguma rua de Fortaleza que você gostaria de colocar uma ciclofaixa ou ciclovia? Ou melhorar alguma estrutura dessas? Não, só ando nessa aqui. Só ando nela aqui. Até Maracanaú.",Preferência pessoal,Mais de 5 anos,Calor ou clima,,,"Sim, por uma moto"
45 anos,,"Existe alguma rua de Fortaleza que você gostaria de ter uma ciclopasta, uma ciclovia? Não lembro no momento, não. Tá bom. Ou melhorar alguma que já existe? A nossa é Guadalupe, né? Porque eu ando muito.",Rapidez \ Tempo;Preferência pessoal,,Buracos na ciclovia,,Não,Não
34 anos,Masculino,"Existe alguma rua que você gostaria de ver uma ciclofaixa ou ciclovia? Sim, eu acho que as ciclovias, por exemplo, que diz respeito ali perto do terminal da Parangaba, em direção Pra quem vai pra Lagoa da Parangaba não tem nenhuma ciclopia. Lá é meio caótico, então quando você passa por aquela rua em frente ao terminal, você passa lá e é muito perigoso, porque além de ser muito estreitinho, é difícil pra bicicleta passar. E pra quem vai em direção à Lagoa da Parangaba, Tem uma universidade ali, a Estácia, que eu estudo lá Às vezes eu tenho que ir por lá, é bem complicado o caminho Então eu acho que uma ciclovia... Não sei como faria já, que é tão estreito ali Mas eu acho que alguma coisa naquela direção seria legal",Custo \ É mais barato;Exercício e saúde,,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",,Não
58 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ter uma ciclofaixa ou ciclovia? Com proteção, melhor? Eu moro aqui perto, já trabalho mais de tempo. Quando eu for pra lá eu vou de óleo, vou de ouro.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,,"Sim, mas não especifica qual meio"
30 anos,Feminino,"Existe alguma rua de Fortaleza que ainda não tem ciclofaixa, ciclovia, que tu gostaria de ter ou melhorar alguma que já existe? Sim, é muito importante que a ciclovia... Eu não sei o nome daquela rua, mas saindo aqui... Tá, é uma rua que vai até o S. Eu posso ir pelo mapa? Peraí. Ó, meu trabalho é aqui. Então... Pronto, a Rua Holanda. A Guadupe do Maciel, aí a Rua Holanda, podia deixar até a Oeste, tem um hospital que estão fazendo um novo lá, então seria muito legal ter esse contato ali também.",Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não
18 anos,Masculino,"Existe alguma rua aqui em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofaixa, uma infraestrutura? A Chinasol de Pai. Tá bem.",Rapidez \ Tempo;Praticidade e conveniência,,Buracos na ciclovia,,Não,Não
A idade da pessoa não está mencionada no texto.,Masculino,"Existe alguma rua de Fortaleza que você gostaria que tivesse ciclofácil? Ou ciclovia? Beleza. É, a gente vai circular ali, ó. Perimetral.",Exercício e saúde;Praticidade e conveniência,,,"Sim, tenho medo de acidentes",,"Sim, por um carro"
34 anos,Feminino,"Existe alguma rua em Porto Alegre que você gostaria de ter uma ciclofaixa ou ciclovia? Aqui, a Germano Franklin, aquele pedaço que pega da Germano Franklin ao... Meu Deus! Gomes de Matos, corta aquele pedaço ali, não tem simbologia.",Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
61,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia ou ciclofaixa, ou que melhorasse? Alguma que já existe? Aqui em Fortaleza? É. Tá lembrando alguma? Eu acho que a Jão Pessoa, né? A Jão Pessoa não tem. Lá é muito perigoso andar de bicicleta.",Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
