idade,genero,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_ciclista_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
53 anos,Masculine,Exercício e saúde,A informação não está disponível.,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
quase 44 anos,Male,Mais fácil,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,,Não,Sim,"Sim, por uma bicicleta melhor"
55,Cannot be determined from the text.,Rapidez \ Tempo;Custo \ É mais barato,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
45 anos,Male,Rapidez \ Tempo; Praticidade e conveniência,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, por uma moto"
27,Male,Exercício e saúde,A informação não está disponível no texto.,Buracos na ciclovia; Má qualidade das ciclovias,,Não,"Sim, mas não especifica qual meio."
35,Masculino,Exercício e saúde;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Falta de ciclovias,"Sim, tenho medo de acidentes",,Não
38,Male,Rapidez \ Tempo;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Buracos na ciclovia,Não,Não,Não
57,Female,Exercício e saúde,Não é possível classificar a resposta porque a informação de quanto tempo o respondente é ciclista não está explícita no texto.,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
27 anos,Female,Rapidez \ Tempo;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
46 years,Male,Única opção,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, por uma moto"
47,Male,Exercício e saúde,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
27,Male,Custo \ É mais barato; Segurança no trânsito; Praticidade e conveniência,A informação não está presente no texto.,Buracos na ciclovia; Falta de ciclovias; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não há informações.,"Sim, por uma moto"
19,Male,Praticidade e conveniência; Mais fácil,Informação não disponível.,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
24,Male,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Outros obstáculos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,
21,Male,Mais fácil;Praticidade e conveniência,A informação não está presente no texto.,Desrespeito dos motoristas ou Trânsito,,,Não
29,Male,Rapidez \ Tempo,Não há informações disponíveis para classificar.,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
30,Male,Exercício e saúde,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Buracos na ciclovia,Não,Não,"Sim, mas não especifica qual meio."
28,Male,Preferência pessoal,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
44,Male,Rapidez \ Tempo,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,Não,,Não
34 (or 38),Male,Rapidez \ Tempo,Não há informações no texto para classificar.,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
27,Male,,"A informação sobre há quanto tempo o respondente é ciclista não está presente no texto, portanto, não pode ser classificada em nenhuma das categorias fornecidas.",Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Falta de ciclovias,,,"Sim, mas não especifica qual meio."
41,Female,Rapidez \ Tempo,Não aplicável,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
Quarenta,Male,Exercício e saúde,Não há informações,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,Não,Não
48 years old,Male,Praticidade e conveniência;Mais fácil,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,,,Não
36,Male,Única opção; Custo \ É mais barato,N/A,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
