idade,genero,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
NULL,Masculino,,Preferência pessoal,Outros obstáculos na ciclovia; Risco de acidentes,Melhoria da fiscalização,Não
46,Feminino,,Exercício e saúde; Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Conscietização dos motoristas,
NULL,Não informado,Não sei dizer,,,,Não
35,Feminino,,Exercício e saúde;Praticidade e conveniência,Outros obstáculos na ciclovia,"Melhoria da fiscalização, Melhora de qualidade das ciclovias",Não
30,Feminino,Não,Exercício e saúde,Outros obstáculos na ciclovia,Expansão das ciclovias,
40,Masculino,Na periferia,Exercício e saúde; Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias,Não
41,Masculino,,Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,,Não
NULL,Não informado,Continuação da Abolição,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,
24,Masculino,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,,Não
38,Masculino,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias;Conscietização dos motoristas,Não
49,M,Avenida César Carlos,Exercício e saúde,Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,Melhora de qualidade das ciclovias,
48,M,Não sabe o nome das ruas,Rapidez \ Tempo;Praticidade e conveniência,,Melhoria da fiscalização,Não
18,M,Rua Franca e Rua Itabora,Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,Não
18,F,Não mencionou,Custo \ É mais barato; Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas,
28,M,Dentro do bairro Mucuripe,Rapidez \ Tempo,Má qualidade das ciclovias,,Não
Não informado,M,Desembargador Moreira,Exercício e saúde,Má qualidade das ciclovias,Expansão das ciclovias; Melhora de qualidade das ciclovias,Não
54,M,Não mencionou,Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,Conscientização dos motoristas; Melhoria da qualidade das ciclovias,
25,F,Avenida Beira-Mar,Exercício e saúde;Preferência pessoal,Outros obstáculos na ciclovia,Melhoria da fiscalização,Não
35,M,Centro da cidade,Preferência pessoal,Outros obstáculos na ciclovia,Conscietização dos motoristas,Não
40,F,Bairro Aldeota,Exercício e saúde,Medo de assaltos,Melhoria da Iluminação,
10,F,A praia,Preferência pessoal,,,Não
72,M,Nunes Valende,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas,Não
63,M,Depende da rua (evitar complicar trânsito),Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,Conscietização dos motoristas,
26,M,Avenida Areia Branca (Vicente Pizão),Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias,Não
40,M,Muitas ruas merecem mais espaço,Exercício e saúde; Praticidade e conveniência,Outros obstáculos na ciclovia,Melhora de qualidade das ciclovias,Não
43,M,Costa Barros,Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias,
28,M,Avenida Abolição,Exercício e saúde;Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas,Não
47,M,CE040,Exercício e saúde,Falta de ciclovias,Melhoria da fiscalização; Segurança pública,Não
42,M,Avenida Francisco Sá,Exercício e saúde; Praticidade e conveniência,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias; Limpeza das ciclovias,
49,M,Trecho da avenida próximo ao Iguatemi,Praticidade e conveniência; Única opção,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes; Machismo e desrespeito,Conscietização dos motoristas,Não
42,Masculino,Não tem,Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Calor ou clima,Expansão das ciclovias;Melhora de qualidade das ciclovias,Não
