idade,genero,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado
56,Masculino,Continuação da Bernardo Emanuel para o aeroporto (depois dela é Brasil/Parajana),Não,,Praticidade e conveniência;Segurança no trânsito,"Lixo na ciclovia, Outros obstáculos na ciclovia, Desrespeito dos motoristas ou Trânsito",Outros
38,Masculino,,Não,,Praticidade e conveniência;Segurança no trânsito,Sinalização inadequada,Outros
31,Masculino,"Não, sou novo aqui",Não,,Mais fácil;Praticidade e conveniência;Segurança no trânsito,Calor ou clima,Outros
,Feminino,,Não,,Praticidade e conveniência;Segurança no trânsito,,Outros
51,Feminino,Peleferia e áreas de Ardim/Uservalto,Não,,Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias; Conscietização dos motoristas
61,Masculino,Parangaba,Não,,Exercício e saúde;Rapidez \ Tempo,Lixo na ciclovia,Conscietização dos motoristas
43,Masculino,Silas Manoba,Não,"Sim, medo de assalto e acidente",Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,Má qualidade das ciclovias; Buracos na ciclovia; Falta de ciclovias,Melhora de qualidade das ciclovias; Limpeza das ciclovias
38,Masculino,Essa rua com acúmulo de lixo e desrespeito,Não,,Praticidade e conveniência;Segurança no trânsito;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas
25,Masculino,Castelão / Silas Munguba,"Sim, por uma moto",,Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,Segurança pública; Melhoria da fiscalização
60,Masculino,Entre a Pele Metral e o Castelão,Não,,Rapidez \ Tempo;Praticidade e conveniência,"Desrespeito dos motoristas ou Trânsito, Lixo na ciclovia, Outros obstáculos na ciclovia",Melhora de qualidade das ciclovias; Limpeza das ciclovias
61,Masculino,Benjamin Brasil,Não,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,Outros
47,Masculino,Costa e Silva (trecho entre fábrica de ração e Anguruçu),Não,Medo de assalto,Praticidade e conveniência;Exercício e saúde,Buracos na ciclovia; Risco de acidentes,Segurança pública
60,Masculino,Não,Não,,Rapidez \ Tempo;Mais fácil;Segurança no trânsito,Lixo na ciclovia,Limpeza das ciclovias
53,Masculino,Região dos murros até o aeroporto,"Sim, mas não especifica qual meio",Não,Rapidez \ Tempo;Segurança no trânsito,,Outros
31,Masculino,Perimetral,Não,,Rapidez \ Tempo;Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,Melhoria da fiscalização
34,Masculino,"Nenhuma, pois já tem ciclofaixa",Não,,Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,Outros
56,Masculino,Silas Manguba e 13 de maio,Não,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Buracos na ciclovia; Lixo na ciclovia; Outros obstáculos na ciclovia,Melhora de qualidade das ciclovias; Limpeza das ciclovias
30,Masculino,"Não, pois já tem ciclofaixa na rota","Sim, por um carro",,Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias; Outros
61,Masculino,"Nenhuma, todas já têm ciclovia",Não,,Exercício e saúde;Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Buracos na ciclovia,Conscietização dos motoristas; Melhora de qualidade das ciclovias
48,Masculino,Cidade do Brasil (antiga Cidade do Brasil),Não,,Exercício e saúde;Preferência pessoal,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,Conscietização dos motoristas
35,Feminino,Todas que eu ando já têm ciclovia,"Sim, mas não especifica qual meio",,Exercício e saúde;Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Melhora de qualidade das ciclovias; Outros
33,Masculino,Perimetral,"Sim, por um carro",,Praticidade e conveniência;Segurança no trânsito,Risco de acidentes,Segurança pública
26,Masculino,Todas as ruas que frequento já têm ciclovia,Não,,Exercício e saúde;Praticidade e conveniência,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias; Limpeza das ciclovias
30,Masculino,Nenhuma específica,Não,,Praticidade e conveniência;Segurança no trânsito,Desrespeito dos motoristas ou Trânsito,Outros
36,Masculino,Silas Munguba / Siqueira,Não,,Rapidez \ Tempo;Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias
38,Masculino,Rosalino,Não,,Praticidade e conveniência;Segurança no trânsito;Rapidez \ Tempo;Mais fácil,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas; Segurança pública
