idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
34 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma simbologia? Não. Está de boa. Quem sabe mesmo as autoridades maiores, o prefeito, etc. Mas se você tivesse que escolher uma rua, qual seria? Aqui é uma boa. A Maria Clara é uma boa. Minha rua é Rua Professora Maria Clara. Nada a ver aqui.",Única opção,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
40,Masculino,"E existe algum rio em Fortaleza que tu queria que tivesse um ciclofácil, um ciclovia, e ela não tem hoje? Porque. Todas tem, né? Todas tem. Só na Misterhawk não tem. Mas tu queria que tivesse. É.",Rapidez \ Tempo; Preferência pessoal,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,Não,Sim,"Sim, por uma moto"
46,Masculino,"Existe alguma rua em Fortaleza que não tem ciclopaxi? O que ele tivesse? É pra ter tudinho, né? Pra ficar acelerado direitinho, né? Onde não tem, o que ele tivesse? É.",Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,,"Sim, tenho medo de acidentes",Não,Não
38 anos,Masculino,"Existe alguma rua em Fortaleza que tu gostaria que tivesse uma ciclovia, que ainda não tem? Eu acho que está tudo feito, né? Mas a avenida, eu andei até o centro, está tudo... Alguma ruim que tu queria que melhorasse? É só... Não, acho que não. Tá bom assim.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não
57,Masculino,"E tem algum rua de Fortaleza que o senhor gostaria que tivesse, que eu faça, que eu vi que não tem hoje? No seu trajeto, sim? No meu trajeto, todo o tempo. Todo o tempo.",Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
66,Masculino,"E existe alguma rua aqui em Fortaleza que não tem ciclofaxe, que o perigo tivesse? Ciclofaxe? A rua que eu moro não tem. Que é a rua Rio-Araguaio. Rio-Araguaio? É, não tem.",Custo \ É mais barato;Praticidade e conveniência;Única opção,,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
68 anos.,Masculino,"Rapaz, pra ser sincero, a Fortaleza tá boa, sabe? De andar. A armaria... Olha, quando eu trabalhava na Praça do Futuro, que a gente piscava pra lá, na época não tinha ciclovia, hoje em dia tá bom demais. O que eu fiz o mais bem feito foi isso aí, ó. E a armaria é uma segurança total pra gente, tem um respeito total, sabe? Melhor, 100%. Eu acho melhor 100%, tá gente.",Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
46 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, que ainda não tem? Não acredito. Ou melhor, alguma que está ruim? Não, acho que na maioria das avenidas que eu ando tem ciclovia. Massa. Muito obrigada. É melhorada bastante. Valeu.",Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Não,"Sim, por uma moto ou por um carro"
22 anos,Masculino,"E existe algum rumo aqui de Fortaleza que não tem ciclopasse ou ciclovia? Tu queria que tivesse? Cara, tem canto que tá precisando bastante, só que eu esqueço o nome dos lugares mais... Por aqui tem alguns, né? Por aqui tem alguns, mas tem bastante canto de fortaleza que precisa.",Exercício e saúde;Praticidade e conveniência,Menos de um ano,Medo de assaltos,"Sim, tenho medo de acidentes",Não,Não
28 anos,Masculino,"Existe alguma rua em Fortaleza que tu queria que tivesse uma ciclofaixa que não tem ou uma que tá ruim que tu queria que melhorasse? Não, tô todos bons, tudo legal.",Praticidade e conveniência; Segurança no trânsito,Mais de 5 anos,Outros obstáculos na ciclovia,Não,Sim,Não
