genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Masculino,43,Exercício e saúde; Praticidade e conveniência; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,010426,,,,,,,
Masculino,53,Custo \ É mais barato; Praticidade e conveniência; Mais fácil,,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,,,Não,010426,,,,,,,
Feminino,40,Única opção,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,Não,010426,,,,,,,
Masculino,18,Praticidade e conveniência; Custo \ É mais barato; Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
Masculino,51,Rapidez \ Tempo,,Falta de ciclovias,,,Não,010426,,,,,,,
Masculino,52,Exercício e saúde; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto ou por um carro",010426,,,,,,,
Masculino,46,Custo \ É mais barato;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito,,,Não,010426,,,,,,,
Feminino,41,Praticidade e conveniência; Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto ou por um carro",010426,,,,,,,
Masculino,24,Rapidez \ Tempo; Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",010426,,,,,,,
Masculino,29,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,,,Não,010426,,,,,,,
Masculino,52,Exercício e saúde; Rapidez \ Tempo,"Não é possível classificar a resposta com base no texto fornecido, pois ele afirma explicitamente que não contém informações sobre há quanto tempo o respondente utiliza a bicicleta.",Desrespeito dos motoristas ou Trânsito,,,Não,010426,,,,,,,
Feminino,26,Rapidez \ Tempo; Custo \ É mais barato,"Não é possível classificar a resposta com base no texto fornecido, pois ele afirma explicitamente que não contém informações sobre há quanto tempo o respondente utiliza a bicicleta.",Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",010426,,,,,,,
Feminino,56,Rapidez \ Tempo; Praticidade e conveniência,Não há informações suficientes para classificar a resposta em nenhum dos itens fornecidos.,Desrespeito dos motoristas ou Trânsito; Machismo e desrespeito,,,Não,010426,,,,,,,
Masculino,,Praticidade e conveniência; Preferência pessoal,Não disponível,Falta de ciclovias,,,Não,010426,,,,,,,
Masculino,45,Exercício e saúde; Rapidez \ Tempo; Preferência pessoal,Não informado,Desrespeito dos motoristas ou Trânsito,,,Não,010426,,,,,,,
Masculino,,Exercício e saúde,Mais de 5 anos,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,,Exercício e saúde,Entre 2 e 3 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,"Não tenho informações suficientes para responder à consulta. O texto da célula indica que a transcrição foi interrompida antes do entrevistado responder à pergunta, impossibilitando a classificação entre as opções fornecidas.",010426,,,,,,,
Masculino,55,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,Não,010426,,,,,,,
Masculino,58,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,44,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
Masculino,24,Exercício e saúde; Única opção,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito;Falta de ciclovias;Sinalização inadequada,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",010426,,,,,,,
Masculino,42,Rapidez \ Tempo,Mais de 5 anos,Falta de ciclovias;Buracos na ciclovia,,Não,Não,010426,,,,,,,
Masculino,44,Praticidade e conveniência,Não informado,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,70,Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não,010426,,,,,,,
Masculino,52,Rapidez \ Tempo; Custo \ É mais barato; Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,31,,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Feminino,56,Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,010426,,,,,,,
Masculino,28,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,,Não,Não,010426,,,,,,,
Masculino,,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, por uma moto ou por um carro",010426,,,,,,,
Masculino,57,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro",010426,,,,,,,
Masculino,48,,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
